entry_point_rl,entry_point_ap,vertical_angle,horizontal_angle,axial_angle,distance_advanced,color,session
-640,1500,81.40013133,172.9597971,0,3800,red,1
-3180,-4180,74.09644882,322.4854521,0,3900,red,1
-3800,-3200,72.48640852,324.0531809,0,3750,red,2
-1800,-3500,81.77253283,158.9997452,0,3750,red,2
-1960,-2260,75.9367347,152.4515692,0,3800,red,3
-2580,-4260,69.72582624,324.6637914,0,3800,red,3
-1700,-3900,60,20,0,3800,orange,4
-1300,-1900,67,315,0,4000,orange,4
-500,1500,75,225,0,4000,orange,4
-1500,-1600,70,90,0,4200,orange,5
-2000,-3500,80,0,0,4900,orange,5
-500,1800,65,315,0,4000,orange,5
-3500,-2300,70,110,0,3800,orange,6
-500,-2700,75,0,0,5400,orange,6
-2200,-900,70,270,0,5400,orange,7
-500,-1000,70,90,0,5000,orange,7
-2700,-1200,70,20,0,5400,orange,7
-800,2810,60.67532617,209.5485148,0,3800,light green,8
-2390,-1810,70.52809375,282.2575151,0,3800,light green,8
-2540,-3690,58.11986026,330.0485179,0,3850,light green,8
-490,3110,62.6191652,211.7155565,0,4000,light green,9
-3960,-3250,63.43539958,299.8004072,0,3900,light green,9
-1930,-2210,71.83774737,352.1159007,0,4000,light green,9
-2470,-3600,57.29206368,244.066474,0,3800,light green,10
-3650,-3130,54.06183823,270.0893701,0,3900,light green,10
-3110,-2180,70.51955583,334.1551288,0,4000,light green,10
-1400,820,66.28670822,221.5227906,0,3850,light green,11
-2060,190,67.53917672,294.4604384,0,3800,light green,11
-1280,-510,72.43626466,37.90182552,0,3950,light green,11
-1700,-4000,60,20,0,4000,medium green,12
-500,2500,75,225,0,4000,medium green,12
-1700,-2000,67,315,0,4000,medium green,12
-1700,-2000,70,90,0,4000,medium green,13
-1700,-4000,80,0,0,5000,medium green,13
-800,2500,75,225,0,4000,medium green,13
-1000,2500,65,20,0,2600,medium green,14
-1700,-4000,75,270,0,3300,medium green,14
-1200,-2000,68,225,0,3300,medium green,14
-1500,-300,75,90,0,5500,medium green,15
-3000,-2200,75,250,0,5200,medium green,15
-3600,-2000,70,70,0,2200,medium green,16
-3000,-2200,68,250,0,5200,medium green,16
-1800,-900,75,110,0,6500,medium green,17
-1600,-800,68,340,0,6500,medium green,18
-3400,-2100,68,250,0,5500,medium green,18
-1520,-2970,81.92329672,330.9398385,0,3950,dark green,19
-2160,-1680,76.99955535,184.1288348,0,3800,dark green,20
-1750,-3260,82.8114953,33.24375898,0,3850,dark green,20
-1320,-10,71.24088632,178.9863126,0,3800,dark green,21
-1730,-540,74.4305759,290.3123569,0,3950,dark green,21
-790,1370,85.86683676,359.7423638,0,3750,light blue,22
-2130,-4620,69.89158157,313.9758655,0,4000,light blue,22
-1870,-2730,70.97426545,338.9034027,0,3800,light blue,23
-3410,-2900,88.82866585,73.50215168,0,3700,light blue,24
-1760,-4020,71.97278341,332.7904065,0,3800,light blue,24
-980,1980,81.90192583,226.465278,0,3850,dark blue,25
-1500,-4000,81,0,0,3800,dark blue,25
-900,1500,81,225,0,3800,dark blue,26
-1800,-4000,81,0,0,3800,dark blue,26
-1990,-1930,79.56000895,305.302768,0,3900,dark blue,27
-900,1680,81.10129844,194.9139227,0,3900,dark blue,27
-1210,-3950,81.13999929,0.290889142,0,3750,dark blue,28
-1610,-2130,81.08020351,177.6953182,0,3700,dark blue,28
-1950,170,86.17170834,191.6870469,0,3750,dark blue,29
-2470,-410,74.83011286,304.2617872,0,3800,dark blue,29
-1300,-3800,60,20,0,4000,purple,30
-1700,-2000,67,315,0,3800,purple,30
-500,2200,75,225,0,3800,purple,30
-1700,-3800,80,0,0,5000,purple,31
-500,2600,80,315,0,3000,purple,31
-500,2500,75,45,0,2500,purple,32
-1200,-4000,75,270,0,4200,purple,32
-1800,0,75,90,0,5500,purple,33
-3300,-2200,75,250,0,5200,purple,33
-2500,-900,75,110,0,6500,purple,34
-3000,-2000,72,250,0,5200,purple,34
-1700,-4000,60,20,0,4000,violet,35
-1700,-2000,67,315,0,4000,violet,35
-500,2500,75,225,0,4000,violet,35
-1700,-2000,70,90,0,4000,violet,36
-1700,-4000,80,0,0,5300,violet,36
-800,2500,75,225,0,4000,violet,36
-1000,2500,65,20,0,2400,violet,37
-1700,-4000,75,270,0,4000,violet,37
-1700,-2000,68,225,0,4000,violet,37
-1500,-300,75,90,0,5800,violet,38
-3000,-2200,68,250,0,5600,violet,38
-1700,-4000,60,30,0,3800,violet,39
-1600,-2500,67,315,0,3800,violet,39
-500,2500,75,235,0,3800,pink,39
