entry_point_rl,entry_point_ap,vertical_angle,horizontal_angle,axial_angle,distance_advanced,color,session
-640,1500,81.40013133,172.9597971,0,3800,red,1
-3180,-4180,74.09644882,322.4854521,0,3900,red,1
-3800,-3200,72.48640852,324.0531809,0,3750,red,2
-1800,-3500,81.77253283,158.9997452,0,3750,red,2
-1960,-2260,75.9367347,152.4515692,0,3800,red,3
-2580,-4260,69.72582624,324.6637914,0,3800,red,3
-1700,-3900,60,20,0,3800,orange,4
-1300,-1900,67,315,0,4000,orange,4
-500,1500,75,225,0,4000,orange,4
-1500,-1600,70,90,0,4200,orange,5
-2000,-3500,80,0,0,4900,orange,5
-500,1800,65,315,0,4000,orange,5
-3500,-2300,70,110,0,3800,orange,6
-500,-2700,75,0,0,5400,orange,6
-2200,-900,70,270,0,5400,orange,7
-500,-1000,70,90,0,5000,orange,7
-2700,-1200,70,20,0,5400,orange,7
-800,2810,60.67532617,209.5485148,0,3800,light green,8
-2390,-1810,70.52809375,282.2575151,0,3800,light green,8
-2540,-3690,58.11986026,330.0485179,0,3850,light green,8
-490,3110,62.6191652,211.7155565,0,4000,light green,9
-3960,-3250,63.43539958,299.8004072,0,3900,light green,9
-1930,-2210,71.83774737,352.1159007,0,4000,light green,9
-2470,-3600,57.29206368,244.066474,0,3800,light green,10
-3650,-3130,54.06183823,270.0893701,0,3900,light green,10
-3110,-2180,70.51955583,334.1551288,0,4000,light green,10
